painting,emotion
vincent-van-gogh_portrait-of-madame-ginoux-l-arlesienne-1890,sadness
wassily-kandinsky_study-for-autumn-1909,awe
konstantin-korovin_yaroslavna-s-lament-1909,amusement
paul-gauguin_mette-gauguin-in-an-evening-dress-1884,amusement
pericles-pantazis_still-life-with-quinces-1880,contentment
willard-metcalf_havana-harbor,awe
willard-metcalf_pond-giverny,contentment
albrecht-durer_design-for-the-fugger-chapel-in-augsburg-simson-with-the-doors-of-gaza,amusement
robert-campin_werl-altarpiece-st-barbara-1438,contentment
theodor-severin-kittelsen_kveld-paa-soletunet-i-eggedal(1),sadness
vasily-surikov_young-lady-with-violet-overcoat,contentment
vasily-vereshchagin_sowar-the-messenger-of-the-government-1876,fear
vincent-van-gogh_head-of-a-man-with-straw-hat-1885(1),sadness
william-merritt-chase_portrait-of-william-gurley-munson,contentment
viktor-vasnetsov_ivan-tsarevich-riding-the-grey-wolf-1889,awe
william-turner_fishermen-at-sea,fear
jan-van-eyck_copy-drawing-of-madonna-by-the-fountain,contentment
paul-cezanne_the-oilmill-1871,contentment
raoul-dufy_the-beach-of-sainte-adresse-1904,contentment
jean-francois-millet_the-winnower-1848,sadness
pyotr-konchalovsky_still-life-lilacs-in-the-bucket-1943,contentment
nikolay-bogdanov-belsky_girl-in-a-wood,sadness
edgar-degas_young-spartans-exercising-1860,excitement
gregoire-boonzaier_self-portrait-1969,sadness
theo-van-rysselberghe_noon-landscape,contentment
hoca-ali-riza_peyzaj(2),contentment
giuseppe-de-nittis_sarah-bernhardt-as-pierrot,amusement
theodor-severin-kittelsen_dra-en-lort-sa-jeg(2),sadness
toyen_crying,sadness
n.c.-wyeth_merlin-taking-away-the-infant-arthur,sadness
vincent-van-gogh_wheatfield-with-cypress-tree-1889,amusement
john-singer-sargent_the-bridge-of-sighs,excitement
vincent-van-gogh_woman-peeling-potatoes-1885,contentment
guy-rose_laguna-eucalyptus-1917,fear
mary-cassatt_portrait-of-a-young-woman-in-green,excitement
eugene-boudin_le-havre-avent-port-1894,awe
john-henry-twachtman_view-along-a-river,contentment
edgar-degas_after-the-bath-woman-drying-her-feet-1886,sadness
vincent-van-gogh_the-church-in-nuenen-in-winter-1883,awe
eugene-boudin_boats-at-anchor-along-the-shore,contentment
winslow-homer_camp-fire,contentment
john-singer-sargent_palazzo-corner-della-ca-grande-1907,awe
orest-kiprensky_the-family-of-satyrs,excitement
john-singer-sargent_nicola-d-inverno,amusement
pieter-bruegel-the-elder_land-of-cockaigne-1567,fear
jean-francois-millet_the-church-of-greville,awe
tivadar-kosztka-csontvary_sacrificial-stone-in-baalbek-1907,awe
vincent-van-gogh_woman-mending-stockings-1881,contentment
vincent-van-gogh_van-gogh-s-chair-1889,amusement
nicolae-grigorescu_clearing-back,awe
sir-lawrence-alma-tadema_strigils-and-sponges-1879,amusement
julian-alden-weir_fireside-dreams-1887,contentment
pavel-fedotov_police-commissary-s-reception-room-the-night-before-a-holiday,amusement
orest-kiprensky_putto-with-a-globe,amusement
vincent-van-gogh_woman-with-hat-half-length-1886,sadness
ipolit-strambu_reverie-1919,contentment
gustave-caillebotte_factories-at-argenteuil,disgust
sir-lawrence-alma-tadema_pleading-1876,contentment
yiannis-tsaroychis_self-portrait-1926,sadness
robert-campin_saint-veronica-displaying-the-sudarium,sadness
pyotr-konchalovsky_daisies-1935-1,contentment
jan-van-eyck_the-offerings-of-cain-and-abel-1429,fear
paul-delaroche_napol-on-bonaparte-abdicated-in-fontainebleau-1846,disgust
konstantin-makovsky_by-the-open-window,contentment
theodor-severin-kittelsen_uvaersnatt-utfor-skomvaer-fyr-en,fear
mary-cassatt_sketch-of-francois,amusement
paula-modersohn-becker_sand-pit-1901,contentment
nicholas-roerich_man-from-pskov-1894,sadness
william-turner_the-thames-near-walton-bridges,contentment
n.c.-wyeth_and-when-they-came-to-the-sword-that-the-hand-held-king-arthur-took-it-up,awe
pierre-auguste-renoir_woman-with-a-parasol-1872,contentment
william-merritt-chase_portrait-of-harriet-hubbard-ayers,contentment
william-adolphe-bouguereau_the-madonna-of-the-lilies-1899,awe
guy-rose_the-distant-town-1910,contentment
konstantinos-volanakis_casting-the-nets,contentment
vincent-van-gogh_donkey-and-cart(1),contentment
pierre-auguste-renoir_girl-with-a-basket-of-fish,contentment
jean-francois-millet_pastures-in-normandy,contentment
william-shayer_on-the-south-coast,sadness
willard-metcalf_passing-summer,contentment
vincent-van-gogh_wheat-fields-with-auvers-in-the-background-1890,disgust
hugo-van-der-goes_portrait-of-a-man-of-prayer-with-st-john-the-baptist,fear
sir-lawrence-alma-tadema_joseph-overseer-of-pharaoh-s-graneries-1874,awe
konstantin-korovin_woman-with-guitar-1919,fear
pavel-svinyin_shad-fishermen-on-the-shore-of-the-hudson-river,contentment
julian-alden-weir_the-inlet,awe
william-merritt-chase_the-black-kimono-1,amusement
vladimir-makovsky_ukrainian-landscape-with-huts-1901,contentment
theo-van-rysselberghe_madame-van-rysselberghe-in-a-chedkered-bow-tie-1918,amusement
max-liebermann_self-portrait-1922,fear
pyotr-konchalovsky_early-spring-birches-1948,awe
orest-kiprensky_portrait-of-an-unknown-man-1811,sadness
pyotr-konchalovsky_still-life-with-a-red-tray-1916,contentment
valentin-serov_portrait-of-l-k-naryshkin-1910,amusement
vincent-van-gogh_two-women-working-in-wheat-field-1890,awe
nikolay-bogdanov-belsky_sunday-reading-at-country-school,awe
gustave-caillebotte_still-life-with-a-vase-of-lilacs,contentment
pyotr-konchalovsky_female-nude-1,contentment
mary-cassatt_young-woman-sewing-in-the-garden-1882,contentment
mary-cassatt_mother-and-child-1890,contentment
salvador-dali_portrait-of-a-child-unfinished,contentment
konstantin-korovin_night-street-paris-1902,excitement
hans-holbein-the-younger_solomon-and-the-queen-of-sheba,awe
sir-lawrence-alma-tadema_in-the-temple-1871,amusement
orest-kiprensky_portrait-of-an-unknown-man,contentment
pierre-auguste-renoir_sleeping-cat-1862,contentment
t.-c.-steele_the-bloom-of-the-grape-1893,fear
max-slevogt_girl-in-front-of-the-lion-cage-1901,disgust
victor-meirelles_a-passagem-de-humait-1886,awe
walter-battiss_old-lamu-bajun-isles,contentment
theo-van-rysselberghe_renee-druet-with-violin-1910,contentment
thomas-cole_the-course-of-empire-destruction-1836,fear
paul-gauguin_still-life-with-cherries-1886,contentment
kazimir-malevich_sisters-1910,amusement
vincent-van-gogh_dog(1),fear
thomas-eakins_a-spanish-woman,contentment
victor-pasmore_nude-1941(1),sadness
stefan-luchian_house-in-oltenia,contentment
pierre-paul-prud'hon_bathing-venus,sadness
jean-fouquet_self-portrait,sadness
salvador-dali_stultae-et-prudentes-filiae-sirach-7-26-1967,excitement
vasily-tropinin_the-lacemaker,sadness
vincent-van-gogh_study-for-woman-sitting-by-a-cradle-1887,sadness
john-constable_yarmouth-pier-1822,awe
edgar-degas_two-horses-in-a-pasture,awe
karl-bryullov_self-portrait-3,awe
konstantinos-volanakis_seascape,contentment
edgar-degas_three-heads,sadness
john-henry-twachtman_barnyard-1900,amusement
edouard-manet_the-monet-family-in-their-garden-at-argenteuil-1874(1),contentment
john-singer-sargent_a-hotel-room,excitement
odilon-redon_flowers-in-a-blue-vase,awe
volodymyr-orlovsky_harvest-1882(1),contentment
vasily-perov_by-train-1879,amusement
pablo-picasso_untitled-1970-2,fear
edgar-degas_woman-combing-her-hair,contentment
paul-delaroche_portrait-of-henrietta-sontag,awe
albrecht-durer_the-evil-thief,fear
valentin-serov_portrait-of-sergey-muromtsev-1910,awe
richard-parkes-bonington_abbey-of-st-berlin-near-st-omer-1823,awe
pyotr-konchalovsky_moika-three-arch-bridge-1931,contentment
joseph-wright_convent-of-san-cosimato-and-part-of-the-claudian-aqueduct-near-vicovaro-in-the-roman-campagna,awe
salvador-dali_filius-prodigus-1964,fear
mykola-yaroshenko_self-portrait-1895,contentment
martin-schongauer_head-of-a-high-priest,contentment
pyotr-konchalovsky_airedale-1935,excitement
max-slevogt_the-circus,excitement
john-atkinson-grimshaw_day-dreams,contentment
guy-rose_giverny-willows-1891,fear
laszlo-mednyanszky_angler-1890,contentment
joaquã­n-sorolla_boats-in-the-port-valencia-1904,excitement
nicolae-vermont_seaming-wench-1929,contentment
thomas-cole_the-voyage-of-life-childhood-1,awe
ivan-shishkin_a-woman-under-an-umbrella-on-a-flowering-meadow-1881,contentment
ivan-shishkin_in-the-deciduous-forest,fear
vladimir-makovsky_old-man-with-a-pipe-1881,awe
salvador-dali_landscape-1,contentment
edgar-degas_sky-study,awe
james-mcneill-whistler_symphony-in-flesh-colour-and-pink-portrait-of-mrs-frances-leyland-1873,sadness
joachim-wtewael_moses-striking-the-rock-1624,excitement
vasily-vereshchagin_soldiers-in-the-snow-1878,awe
orest-kiprensky_portrait-of-m-a-kikina-1816,contentment
vasily-polenov_details-of-golden-gates-1893,awe
william-merritt-chase_woman-in-green,awe
vincent-van-gogh_sheet-with-sketches-of-a-digger-and-other-figures-1890,amusement
viktor-vasnetsov_humpbacked-horse,awe
vincent-van-gogh_reaper-1885-3,contentment
vincent-van-gogh_treetop-seen-against-the-wall-of-the-asylum-1889,fear
ilya-mashkov_bakhchisarai-khan-s-palace-1925,awe
thomas-cole_view-on-the-schoharie-1826,sadness
valentin-serov_winter-in-abramtsevo-1886,contentment
eugene-boudin_laundresses-on-the-banks-of-the-touques-2,sadness
hans-memling_portrait-of-a-reading-man,amusement
orest-kiprensky_portrait-of-prince-nikita-petrovich-trubetskoy-1826,awe
james-mcneill-whistler_the-chelsea-girl,contentment
lucas-cranach-the-elder_the-crucifixion-1503-1,disgust
thomas-moran_salvator-rosa-sketching-the-banditi-1860,contentment
albrecht-durer_the-martyrdom-of-st-john-the-evangelist-1498,disgust
pablo-picasso_two-nude-women-1906-2,disgust
valentin-serov_portrait-of-paolo-troubetzkoy,contentment
vasily-polenov_tiberias-gennesaret-lake-1,fear
pierre-auguste-renoir_young-woman-seated,contentment
sidney-nolan_desert-storm-1955,sadness
vincent-van-gogh_couple-walking(1),contentment
istvan-nagy_landscape-in-csik-transylvania,awe
francisc-sirato_woman-from-bucovina,awe
pierre-auguste-renoir_white-house,awe
nikolai-ge_portrait-of-yakov-merkulov,contentment
orest-kiprensky_gurko-v-d-female-portrait-1814,sadness
giovanni-boldini_the-mondona-singer-1884,excitement
albrecht-durer_study-sheet-with-self-portrait-hand-and-cushions-1493,fear
valentin-serov_portrait-of-margarita-morozova-1910,amusement
lev-lagorio_landscape-with-seagulls-1889,contentment
rogier-van-der-weyden_triptych-of-the-redemption-1459,sadness
thomas-cole_interior-of-the-colosseum-rome-1832,awe
salvador-dali_untitled-figures-pieta-catastrophic-signs,disgust
edmund-charles-tarbell_my-wife-emeline-in-a-garden,contentment
vasily-vereshchagin_mendicant-dervishes-duvana-holy-fools-1873,excitement
james-tissot_two-frontispiece-sitting-on-the-globe,excitement
